date,covid_region,cases,deaths,admissions,date_of_extract,confirmed_covid_deaths_prev_24h,confirmed_covid_icu,covid_non_icu,suspected_covid_icu,suspected_and_confirmed_covid_icu,inpatient,confirmed_cases,new_confirmed_cases
1/1/2020,11,,,,,,,,,,5,,
1/2/2020,11,0,0,3,,,,,,,7,,
1/3/2020,11,0,0,2,,,,,,,5,,
1/4/2020,11,0,0,1,,,,,,,6,,
1/5/2020,11,0,0,2,,,,,,,12,,
1/6/2020,11,0,0,1,,,,,,,4,,
1/7/2020,11,0,0,1,,,,,,,3,,
1/8/2020,11,,,,,,,,,,9,,
1/9/2020,11,,,,,,,,,,11,,
1/10/2020,11,,,,,,,,,,10,,
1/11/2020,11,,,,,,,,,,4,,
1/12/2020,11,0,0,1,,,,,,,5,,
1/13/2020,11,,,,,,,,,,9,,
1/14/2020,11,,,,,,,,,,6,,
1/15/2020,11,,,,,,,,,,5,,
1/16/2020,11,,,,,,,,,,5,,
1/17/2020,11,,,,,,,,,,5,,
1/18/2020,11,,,,,,,,,,5,,
1/19/2020,11,,,,,,,,,,8,,
1/20/2020,11,0,0,1,,,,,,,15,,
1/21/2020,11,,,,,,,,,,2,,
1/22/2020,11,,,,,,,,,,5,,
1/23/2020,11,,,,,,,,,,9,,
1/24/2020,11,,,,,,,,,,9,,
1/25/2020,11,,,,,,,,,,5,,
1/26/2020,11,,,,,,,,,,4,,
1/27/2020,11,1,0,0,,,,,,,8,,
1/28/2020,11,,,,,,,,,,8,,
1/29/2020,11,,,,,,,,,,7,,
1/30/2020,11,,,,,,,,,,11,,
1/31/2020,11,,,,,,,,,,14,,
2/1/2020,11,,,,,,,,,,11,,
2/2/2020,11,,,,,,,,,,9,,
2/3/2020,11,,,,,,,,,,9,,
2/4/2020,11,,,,,,,,,,3,,
2/5/2020,11,,,,,,,,,,10,,
2/6/2020,11,,,,,,,,,,6,,
2/7/2020,11,,,,,,,,,,5,,
2/8/2020,11,,,,,,,,,,7,,
2/9/2020,11,,,,,,,,,,11,,
2/10/2020,11,0,0,1,,,,,,,6,,
2/11/2020,11,,,,,,,,,,5,,
2/12/2020,11,,,,,,,,,,3,,
2/13/2020,11,,,,,,,,,,14,,
2/14/2020,11,,,,,,,,,,8,,
2/15/2020,11,,,,,,,,,,5,,
2/16/2020,11,,,,,,,,,,9,,
2/17/2020,11,0,0,2,,,,,,,12,,
2/18/2020,11,0,0,1,,,,,,,6,,
2/19/2020,11,,,,,,,,,,15,,
2/20/2020,11,,,,,,,,,,2,,
2/21/2020,11,,,,,,,,,,5,,
2/22/2020,11,0,0,1,,,,,,,7,,
2/23/2020,11,,,,,,,,,,3,,
2/24/2020,11,,,,,,,,,,9,,
2/25/2020,11,,,,,,,,,,7,,
2/26/2020,11,,,,,,,,,,6,,
2/27/2020,11,,,,,,,,,,11,,
2/28/2020,11,,,,,,,,,,7,,
2/29/2020,11,,,,,,,,,,7,,
3/1/2020,11,0,0,2,,,,,,,2,,
3/2/2020,11,1,0,1,,,,,,,9,,
3/3/2020,11,0,0,3,,,,,,,8,,
3/4/2020,11,0,0,3,,,,,,,11,,
3/5/2020,11,1,0,3,,,,,,,6,,
3/6/2020,11,3,0,2,,,,,,,17,,
3/7/2020,11,3,0,3,,,,,,,9,,
3/8/2020,11,4,0,7,,,,,,,11,,
3/9/2020,11,4,0,3,,,,,,,10,,
3/10/2020,11,12,0,5,,,,,,,13,,
3/11/2020,11,8,0,6,,,,,,,12,,
3/12/2020,11,21,0,7,,,,,,,13,,
3/13/2020,11,28,0,8,,,,,,,13,,
3/14/2020,11,30,0,10,,,,,,,17,,
3/15/2020,11,32,0,21,,,,,,,16,,
3/16/2020,11,74,1,14,,,,,,,22,,
3/17/2020,11,89,1,21,,,,,,,38,0,0
3/18/2020,11,154,1,34,,,,,,,43,0,0
3/19/2020,11,164,2,36,,,,,,,47,0,0
3/20/2020,11,144,0,45,,,,,,,52,0,0
3/21/2020,11,110,2,48,,,,,,,57,0,0
3/22/2020,11,167,2,58,,,,,,,63,519,519
3/23/2020,11,260,3,97,,,,,,,79,,
